CourseID,CourseName,CourseCategory,CourseType,CourseLevel,CoursePrice,CourseDuration,CourseRating
CR00001,Python Basics,Programming,Paid,Beginner,472.28,11,4.74
CR00002,Java Programming,Programming,Free,Intermediate,0,37.7,2.43
CR00003,C++ for Beginners,Programming,Free,Beginner,0,19.53,3.85
CR00004,Advanced Python,Programming,Free,Beginner,0,45.13,2.88
CR00005,Full Stack Development,Programming,Free,Beginner,0,28.68,1.28
CR00006,Graphic Design Basics,Design,Paid,Advanced,276.37,48.84,2.72
CR00007,UI/UX Design,Design,Free,Advanced,0,48.68,2.61
CR00008,Photoshop Mastery,Design,Free,Advanced,0,2.87,1.52
CR00009,Web Design Fundamentals,Design,Free,Beginner,0,48.19,4.51
CR00010,3D Modeling,Design,Free,Advanced,0,15.29,4.45
CR00011,Entrepreneurship 101,Business,Paid,Intermediate,326.02,11.31,2.69
CR00012,Business Strategy,Business,Paid,Advanced,487.92,36.01,3.64
CR00013,Finance for Startups,Business,Free,Advanced,0,15.84,2
CR00014,Sales Mastery,Business,Free,Advanced,0,22.29,3.15
CR00015,Leadership Essentials,Business,Paid,Beginner,285.05,34.78,1.96
CR00016,Digital Marketing,Marketing,Free,Intermediate,0,42.68,4.72
CR00017,SEO Mastery,Marketing,Free,Advanced,0,29.37,4.79
CR00018,Social Media Marketing,Marketing,Free,Advanced,0,15.44,2.01
CR00019,Content Marketing,Marketing,Free,Advanced,0,18,2.98
CR00020,Email Marketing,Marketing,Free,Intermediate,0,46.25,4.11
CR00021,Data Analysis with Python,Data Science,Free,Intermediate,0,1.2,3.6
CR00022,Data Visualization,Data Science,Free,Beginner,0,32.64,3.65
CR00023,Machine Learning Fundamentals,Data Science,Free,Intermediate,0,9.71,3.02
CR00024,Big Data Analytics,Data Science,Paid,Advanced,117.68,48.09,2.57
CR00025,Statistical Analysis,Data Science,Paid,Beginner,299.57,48.32,3.74
CR00026,Intro to Machine Learning,Machine Learning,Free,Intermediate,0,47.7,4.73
CR00027,Neural Networks,Machine Learning,Free,Advanced,0,9.3,1.81
CR00028,Deep Learning,Machine Learning,Paid,Advanced,0.78,44.96,3.89
CR00029,Natural Language Processing,Machine Learning,Free,Beginner,0,16.33,1.13
CR00030,Reinforcement Learning,Machine Learning,Free,Intermediate,0,38.49,1.73
CR00031,Network Security,Cybersecurity,Free,Intermediate,0,26.52,1.91
CR00032,Ethical Hacking,Cybersecurity,Free,Advanced,0,16.74,2.38
CR00033,Cybersecurity Fundamentals,Cybersecurity,Free,Intermediate,0,48.25,3.93
CR00034,Data Encryption,Cybersecurity,Paid,Intermediate,394.26,47.44,1.35
CR00035,Cyber Threat Intelligence,Cybersecurity,Free,Beginner,0,42.59,4.94
CR00036,Agile Project Management,Project Management,Free,Beginner,0,15.75,4.68
CR00037,Scrum Essentials,Project Management,Free,Intermediate,0,33.93,3.45
CR00038,Risk Management,Project Management,Paid,Intermediate,342.61,17.14,4.84
CR00039,Project Planning,Project Management,Paid,Advanced,346.71,3.42,1.23
CR00040,Leadership in Projects,Project Management,Paid,Beginner,327.99,12.13,1.51
CR00041,Financial Accounting,Finance,Paid,Beginner,53.86,47.08,2.47
CR00042,Investment Strategies,Finance,Free,Intermediate,0,34.83,4.1
CR00043,Corporate Finance,Finance,Free,Beginner,0,31.77,4.14
CR00044,Personal Finance,Finance,Paid,Intermediate,119.04,23.41,2.75
CR00045,Financial Modeling,Finance,Free,Advanced,0,6.36,1.59
CR00046,AI for Beginners,Artificial Intelligence,Paid,Beginner,248.1,9.4,1.2
CR00047,Natural Language Processing,Artificial Intelligence,Paid,Intermediate,89.59,1.55,2.68
CR00048,AI Ethics,Artificial Intelligence,Free,Beginner,0,42.7,3.64
CR00049,Deep Learning,Artificial Intelligence,Paid,Intermediate,415.51,28.33,3.11
CR00050,Computer Vision,Artificial Intelligence,Paid,Beginner,490.9,7.55,4.55
CR00051,HTML & CSS,Web Development,Paid,Advanced,37.89,24.11,1.3
CR00052,JavaScript Mastery,Web Development,Free,Beginner,0,40.76,2.2
CR00053,React for Beginners,Web Development,Free,Advanced,0,40.07,2.67
CR00054,Backend Development with Node.js,Web Development,Free,Beginner,0,48.57,3.32
CR00055,Full-Stack Web Development,Web Development,Paid,Advanced,57.32,43.95,4.74
CR00056,Google Ads Mastery,Digital Marketing,Paid,Advanced,212.39,22.89,3.15
CR00057,SEO for E-commerce,Digital Marketing,Paid,Advanced,177.34,49.73,3.89
CR00058,Social Media Strategy,Digital Marketing,Free,Beginner,0,1.46,4.44
CR00059,Affiliate Marketing,Digital Marketing,Free,Intermediate,0,5.95,4.66
CR00060,Content Creation,Digital Marketing,Free,Beginner,0,8.95,2.14